Import Order,Asset Group Code,Asset Group,Family Order,Evidence Family,Scene ID,Variant ID,Scene Readiness Before Official Capture,Profile,Fixture Snapshot,Format,Aspect Ratio,Final Size,Raw Minimum,Composition Requirement,Visible Proof,Raw Filename Template,Final Filename,Final Relative Path,Static Claim Limit
20,AG3,Pro Trial / Large Vault Upgrade,7,100X promoted - Smart Context source connections picker,sc-100x-context-source-connections-picker,source-connections-picker-square,Promoted support candidate; original AG3 primary profile excludes Smart Context so this requires an explicit scope exception,sc-pro-clean + Smart Context scope exception,v2-base-unlinked,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so picker controls scored results and source note identity remain legible,Smart Context source-connections picker showing scored current-note results,sc-100x-context-source-connections-picker--source-connections-picker-square--{run_id}--raw.png,ag3-100x-03-context-source-picker-square-1200x1200.png,outputs/final/ag3/promoted/ag3-100x-03-context-source-picker-square-1200x1200.png,Claim only the visible source picker and scored result list
21,AG3,Pro Trial / Large Vault Upgrade,7,100X promoted - Smart Context source connections picker,sc-100x-context-source-connections-picker,source-connections-picker-portrait,Promoted support candidate; original AG3 primary profile excludes Smart Context so this requires an explicit scope exception,sc-pro-clean + Smart Context scope exception,v2-base-unlinked,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; source picker and scored results must not be clipped,Smart Context source-connections picker showing scored current-note results,sc-100x-context-source-connections-picker--source-connections-picker-portrait--{run_id}--raw.png,ag3-100x-03-context-source-picker-portrait-960x1200.png,outputs/final/ag3/promoted/ag3-100x-03-context-source-picker-portrait-960x1200.png,Claim only the visible source picker and scored result list
22,AG3,Pro Trial / Large Vault Upgrade,8,100X promoted - Smart Context Builder source note menu,sc-100x-context-builder-source-note,builder-source-note-landscape,Promoted support candidate; original AG3 primary profile excludes Smart Context so this requires an explicit scope exception,sc-pro-clean + Smart Context scope exception,v2-base-unlinked,Landscape,1.91:1,1200 x 628,2560 x 1600 full-window PNG; 2x/Retina preferred,Critical proof fits a centered 1.91:1 crop; builder menu and source-note action labels must be visible,Smart Context Builder menu tied to the active source note,sc-100x-context-builder-source-note--builder-source-note-landscape--{run_id}--raw.png,ag3-100x-04-context-builder-source-landscape-1200x628.png,outputs/final/ag3/promoted/ag3-100x-04-context-builder-source-landscape-1200x628.png,Claim only the visible builder action menu and active source-note state
23,AG3,Pro Trial / Large Vault Upgrade,8,100X promoted - Smart Context Builder source note menu,sc-100x-context-builder-source-note,builder-source-note-square,Promoted support candidate; original AG3 primary profile excludes Smart Context so this requires an explicit scope exception,sc-pro-clean + Smart Context scope exception,v2-base-unlinked,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so builder menu labels and active source note context remain legible,Smart Context Builder menu tied to the active source note,sc-100x-context-builder-source-note--builder-source-note-square--{run_id}--raw.png,ag3-100x-04-context-builder-source-square-1200x1200.png,outputs/final/ag3/promoted/ag3-100x-04-context-builder-source-square-1200x1200.png,Claim only the visible builder action menu and active source-note state
24,AG3,Pro Trial / Large Vault Upgrade,8,100X promoted - Smart Context Builder source note menu,sc-100x-context-builder-source-note,builder-source-note-portrait,Promoted support candidate; original AG3 primary profile excludes Smart Context so this requires an explicit scope exception,sc-pro-clean + Smart Context scope exception,v2-base-unlinked,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; menu labels must stay fully visible,Smart Context Builder menu tied to the active source note,sc-100x-context-builder-source-note--builder-source-note-portrait--{run_id}--raw.png,ag3-100x-04-context-builder-source-portrait-960x1200.png,outputs/final/ag3/promoted/ag3-100x-04-context-builder-source-portrait-960x1200.png,Claim only the visible builder action menu and active source-note state
25,AG3,Pro Trial / Large Vault Upgrade,9,100X promoted - Smart Plugins catalog Core Pro,sc-100x-store-smart-plugins-catalog,store-core-pro-landscape,Promoted support-only candidate; store is packaging evidence not a primary product-output scene,sc-pro-clean,v2-base-unlinked,Landscape,1.91:1,1200 x 628,2560 x 1600 full-window PNG; 2x/Retina preferred,Critical proof fits a centered 1.91:1 crop; Core Pro rows Active states and current labels must remain visible,Smart Plugins catalog showing current Core and Pro rows with active states,sc-100x-store-smart-plugins-catalog--store-core-pro-landscape--{run_id}--raw.png,ag3-100x-05-store-core-pro-landscape-1200x628.png,outputs/final/ag3/promoted/ag3-100x-05-store-core-pro-landscape-1200x628.png,Claim only visible packaging labels active states and current store UI
26,AG3,Pro Trial / Large Vault Upgrade,9,100X promoted - Smart Plugins catalog Core Pro,sc-100x-store-smart-plugins-catalog,store-core-pro-square,Promoted support-only candidate; store is packaging evidence not a primary product-output scene,sc-pro-clean,v2-base-unlinked,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so Core Pro rows and active states stay readable,Smart Plugins catalog showing current Core and Pro rows with active states,sc-100x-store-smart-plugins-catalog--store-core-pro-square--{run_id}--raw.png,ag3-100x-05-store-core-pro-square-1200x1200.png,outputs/final/ag3/promoted/ag3-100x-05-store-core-pro-square-1200x1200.png,Claim only visible packaging labels active states and current store UI
27,AG3,Pro Trial / Large Vault Upgrade,9,100X promoted - Smart Plugins catalog Core Pro,sc-100x-store-smart-plugins-catalog,store-core-pro-portrait,Promoted support-only candidate; store is packaging evidence not a primary product-output scene,sc-pro-clean,v2-base-unlinked,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; avoid clipping active states and product names,Smart Plugins catalog showing current Core and Pro rows with active states,sc-100x-store-smart-plugins-catalog--store-core-pro-portrait--{run_id}--raw.png,ag3-100x-05-store-core-pro-portrait-960x1200.png,outputs/final/ag3/promoted/ag3-100x-05-store-core-pro-portrait-960x1200.png,Claim only visible packaging labels active states and current store UI
28,AG3,Pro Trial / Large Vault Upgrade,10,100X promoted - Connections Pro controls,sc-100x-settings-connections-pro-controls,settings-connections-pro-landscape,Promoted support-only candidate; original master excludes settings as primary captures,sc-pro-clean,v2-base-unlinked,Landscape,1.91:1,1200 x 628,2560 x 1600 full-window PNG; 2x/Retina preferred,Critical proof fits a centered 1.91:1 crop; only plugin-specific settings with no account details may be visible,Connections Pro controls current labels and tier state visible without account details,sc-100x-settings-connections-pro-controls--settings-connections-pro-landscape--{run_id}--raw.png,ag3-100x-06-settings-connections-pro-landscape-1200x628.png,outputs/final/ag3/promoted/ag3-100x-06-settings-connections-pro-landscape-1200x628.png,Claim only visible plugin-specific setting labels and tier state
29,AG3,Pro Trial / Large Vault Upgrade,10,100X promoted - Connections Pro controls,sc-100x-settings-connections-pro-controls,settings-connections-pro-square,Promoted support-only candidate; original master excludes settings as primary captures,sc-pro-clean,v2-base-unlinked,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so plugin-specific settings stay readable with no account details,Connections Pro controls current labels and tier state visible without account details,sc-100x-settings-connections-pro-controls--settings-connections-pro-square--{run_id}--raw.png,ag3-100x-06-settings-connections-pro-square-1200x1200.png,outputs/final/ag3/promoted/ag3-100x-06-settings-connections-pro-square-1200x1200.png,Claim only visible plugin-specific setting labels and tier state
30,AG3,Pro Trial / Large Vault Upgrade,10,100X promoted - Connections Pro controls,sc-100x-settings-connections-pro-controls,settings-connections-pro-portrait,Promoted support-only candidate; original master excludes settings as primary captures,sc-pro-clean,v2-base-unlinked,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; no account details loading states or errors may be visible,Connections Pro controls current labels and tier state visible without account details,sc-100x-settings-connections-pro-controls--settings-connections-pro-portrait--{run_id}--raw.png,ag3-100x-06-settings-connections-pro-portrait-960x1200.png,outputs/final/ag3/promoted/ag3-100x-06-settings-connections-pro-portrait-960x1200.png,Claim only visible plugin-specific setting labels and tier state
31,AG3,Pro Trial / Large Vault Upgrade,11,100X promoted - Smart Environment source index controls,sc-100x-settings-environment-index-controls,settings-environment-index-landscape,Promoted support-only candidate; original master excludes settings as primary captures and any progress/errors block use,sc-pro-clean,v2-base-unlinked,Landscape,1.91:1,1200 x 628,2560 x 1600 full-window PNG; 2x/Retina preferred,Critical proof fits a centered 1.91:1 crop; source/index controls and stable complete state must be visible,Smart Environment source and index controls current labels and stable index state,sc-100x-settings-environment-index-controls--settings-environment-index-landscape--{run_id}--raw.png,ag3-100x-07-settings-environment-index-landscape-1200x628.png,outputs/final/ag3/promoted/ag3-100x-07-settings-environment-index-landscape-1200x628.png,Claim only visible source/index controls and stable index state
32,AG3,Pro Trial / Large Vault Upgrade,11,100X promoted - Smart Environment source index controls,sc-100x-settings-environment-index-controls,settings-environment-index-square,Promoted support-only candidate; original master excludes settings as primary captures and any progress/errors block use,sc-pro-clean,v2-base-unlinked,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so source/index controls are readable and complete state is visible,Smart Environment source and index controls current labels and stable index state,sc-100x-settings-environment-index-controls--settings-environment-index-square--{run_id}--raw.png,ag3-100x-07-settings-environment-index-square-1200x1200.png,outputs/final/ag3/promoted/ag3-100x-07-settings-environment-index-square-1200x1200.png,Claim only visible source/index controls and stable index state
33,AG3,Pro Trial / Large Vault Upgrade,11,100X promoted - Smart Environment source index controls,sc-100x-settings-environment-index-controls,settings-environment-index-portrait,Promoted support-only candidate; original master excludes settings as primary captures and any progress/errors block use,sc-pro-clean,v2-base-unlinked,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; do not include account details progress warnings or errors,Smart Environment source and index controls current labels and stable index state,sc-100x-settings-environment-index-controls--settings-environment-index-portrait--{run_id}--raw.png,ag3-100x-07-settings-environment-index-portrait-960x1200.png,outputs/final/ag3/promoted/ag3-100x-07-settings-environment-index-portrait-960x1200.png,Claim only visible source/index controls and stable index state
