"Import Order","Phase","Asset Group Code","Asset Group","Shot Order","Tier","Impact","Shot","Scene ID","Variant ID","Scene Contract Status","Profile","Demo Snapshot State","Format","Aspect Ratio","Final Size","Raw Minimum","Safe Area Requirement","Composition Requirement","Visible Proof","Reject If","Raw Filename Template","Final Filename","Final Relative Path","Static Claim Limit","Operator Gate"
"11","Launch","AG1","First Useful Related Note","AG1-04","T1 Launch","91","End-of-note: Footer connections","sc-footer-end-note-related-notes","footer-connections-square","Existing scene draft; must pass demo state reset, verification, and fatal gates before official capture","sc-core-clean","v2-base-unlinked","Square","1:1","1200 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; recompose real UI rather than crop a wide desktop. Keep final note section and Footer results visibly connected.","End of the active note and Footer Connections results are visible together","The footer looks like a separate dashboard instead of the bottom of the active note","sc-footer-end-note-related-notes--footer-connections-square--{run_id}--raw.png","ag1-100x-04-footer-connections-square-1200x1200.png","outputs/final/ag1/100x/ag1-100x-04-footer-connections-square-1200x1200.png","Still proves open footer results at note end, not a drag or insertion action.","Capture after launch scene verification passes"
"12","Launch","AG1","First Useful Related Note","AG1-04","T1 Launch","91","End-of-note: Footer connections","sc-footer-end-note-related-notes","footer-connections-portrait","Existing scene draft; must pass demo state reset, verification, and fatal gates before official capture","sc-core-clean","v2-base-unlinked","Portrait","4:5","960 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; narrow composition must not shrink the whole desktop. Keep final note section and Footer results visibly connected.","End of the active note and Footer Connections results are visible together","The footer looks like a separate dashboard instead of the bottom of the active note","sc-footer-end-note-related-notes--footer-connections-portrait--{run_id}--raw.png","ag1-100x-04-footer-connections-portrait-960x1200.png","outputs/final/ag1/100x/ag1-100x-04-footer-connections-portrait-960x1200.png","Still proves open footer results at note end, not a drag or insertion action.","Capture after launch scene verification passes"
"13","Launch","AG3","Pro Trial / Large Vault Upgrade","AG3-01","T1 Launch","100","Hero: inline related blocks while writing","sc-inline-block-related-results","inline-related-popover-landscape","Existing scene draft; must pass Pro demo state reset, verification, and fatal gates before official capture","sc-pro-clean","v2-base-unlinked","Landscape","1.91:1","1200 x 628","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; horizontal source/output relationship stays readable. Keep target paragraph, inline icon, and popover stem/position together.","Target paragraph, inline Connections icon, and real block-level popover are visible together","The popover appears detached from the paragraph or looks like a separate dashboard","sc-inline-block-related-results--inline-related-popover-landscape--{run_id}--raw.png","ag3-100x-01-inline-related-popover-landscape-1200x628.png","outputs/final/ag3/100x/ag3-100x-01-inline-related-popover-landscape-1200x628.png","Still proves the open inline state only; hover activation requires motion.","Capture after launch scene verification passes"
"14","Launch","AG3","Pro Trial / Large Vault Upgrade","AG3-01","T1 Launch","100","Hero: inline related blocks while writing","sc-inline-block-related-results","inline-related-popover-square","Existing scene draft; must pass Pro demo state reset, verification, and fatal gates before official capture","sc-pro-clean","v2-base-unlinked","Square","1:1","1200 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; recompose real UI rather than crop a wide desktop. Keep target paragraph, inline icon, and popover stem/position together.","Target paragraph, inline Connections icon, and real block-level popover are visible together","The popover appears detached from the paragraph or looks like a separate dashboard","sc-inline-block-related-results--inline-related-popover-square--{run_id}--raw.png","ag3-100x-01-inline-related-popover-square-1200x1200.png","outputs/final/ag3/100x/ag3-100x-01-inline-related-popover-square-1200x1200.png","Still proves the open inline state only; hover activation requires motion.","Capture after launch scene verification passes"
"15","Launch","AG3","Pro Trial / Large Vault Upgrade","AG3-01","T1 Launch","100","Hero: inline related blocks while writing","sc-inline-block-related-results","inline-related-popover-portrait","Existing scene draft; must pass Pro demo state reset, verification, and fatal gates before official capture","sc-pro-clean","v2-base-unlinked","Portrait","4:5","960 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; narrow composition must not shrink the whole desktop. Keep target paragraph, inline icon, and popover stem/position together.","Target paragraph, inline Connections icon, and real block-level popover are visible together","The popover appears detached from the paragraph or looks like a separate dashboard","sc-inline-block-related-results--inline-related-popover-portrait--{run_id}--raw.png","ag3-100x-01-inline-related-popover-portrait-960x1200.png","outputs/final/ag3/100x/ag3-100x-01-inline-related-popover-portrait-960x1200.png","Still proves the open inline state only; hover activation requires motion.","Capture after launch scene verification passes"
"16","Launch","AG3","Pro Trial / Large Vault Upgrade","AG3-02","T1 Launch","88","Depth: inline result detail or full list","sc-inline-block-related-results","inline-full-list-detail-landscape","Existing inline-open-full-list addendum; verify block anchoring survives in current UI before capture","sc-pro-clean","v2-base-unlinked","Landscape","1.91:1","1200 x 628","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; horizontal source/output relationship stays readable. Keep line/block identity visible beside the opened fuller list/detail view.","The inline block can open a fuller current list/detail view with source snippets and scores","The shot no longer proves block-level anchoring","sc-inline-block-related-results--inline-full-list-detail-landscape--{run_id}--raw.png","ag3-100x-02-inline-full-list-detail-landscape-1200x628.png","outputs/final/ag3/100x/ag3-100x-02-inline-full-list-detail-landscape-1200x628.png","Still proves the visible anchored fuller-list/detail state only.","Capture after launch scene verification passes"
"17","Launch","AG3","Pro Trial / Large Vault Upgrade","AG3-02","T1 Launch","88","Depth: inline result detail or full list","sc-inline-block-related-results","inline-full-list-detail-square","Existing inline-open-full-list addendum; verify block anchoring survives in current UI before capture","sc-pro-clean","v2-base-unlinked","Square","1:1","1200 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; recompose real UI rather than crop a wide desktop. Keep line/block identity visible beside the opened fuller list/detail view.","The inline block can open a fuller current list/detail view with source snippets and scores","The shot no longer proves block-level anchoring","sc-inline-block-related-results--inline-full-list-detail-square--{run_id}--raw.png","ag3-100x-02-inline-full-list-detail-square-1200x1200.png","outputs/final/ag3/100x/ag3-100x-02-inline-full-list-detail-square-1200x1200.png","Still proves the visible anchored fuller-list/detail state only.","Capture after launch scene verification passes"
"18","Launch","AG3","Pro Trial / Large Vault Upgrade","AG3-02","T1 Launch","88","Depth: inline result detail or full list","sc-inline-block-related-results","inline-full-list-detail-portrait","Existing inline-open-full-list addendum; verify block anchoring survives in current UI before capture","sc-pro-clean","v2-base-unlinked","Portrait","4:5","960 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; narrow composition must not shrink the whole desktop. Keep line/block identity visible beside the opened fuller list/detail view.","The inline block can open a fuller current list/detail view with source snippets and scores","The shot no longer proves block-level anchoring","sc-inline-block-related-results--inline-full-list-detail-portrait--{run_id}--raw.png","ag3-100x-02-inline-full-list-detail-portrait-960x1200.png","outputs/final/ag3/100x/ag3-100x-02-inline-full-list-detail-portrait-960x1200.png","Still proves the visible anchored fuller-list/detail state only.","Capture after launch scene verification passes"
"19","Launch","AG3","Pro Trial / Large Vault Upgrade","AG3-03","T1 Launch","96","Power: Bases score column sorted","sc-bases-reference-relevance-score","bases-score-sorted-landscape","Existing scene draft; static capture needs verified fixed-reference identity and scored state","sc-pro-clean","v2-bases-scored","Landscape","1.91:1","1200 x 628","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; horizontal source/output relationship stays readable. Keep reference identity, score column, descending order, and enough rows readable.","A Base table is sorted descending by a populated Connections score column against a fixed reference","A viewer cannot tell what the scores are measured against","sc-bases-reference-relevance-score--bases-score-sorted-landscape--{run_id}--raw.png","ag3-100x-03-bases-score-sorted-landscape-1200x628.png","outputs/final/ag3/100x/ag3-100x-03-bases-score-sorted-landscape-1200x628.png","Still proves current scored/sorted table state; adding the column requires motion or paired proof.","Capture after launch scene verification passes"
"20","Launch","AG3","Pro Trial / Large Vault Upgrade","AG3-03","T1 Launch","96","Power: Bases score column sorted","sc-bases-reference-relevance-score","bases-score-sorted-square","Existing scene draft; static capture needs verified fixed-reference identity and scored state","sc-pro-clean","v2-bases-scored","Square","1:1","1200 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; recompose real UI rather than crop a wide desktop. Keep reference identity, score column, descending order, and enough rows readable.","A Base table is sorted descending by a populated Connections score column against a fixed reference","A viewer cannot tell what the scores are measured against","sc-bases-reference-relevance-score--bases-score-sorted-square--{run_id}--raw.png","ag3-100x-03-bases-score-sorted-square-1200x1200.png","outputs/final/ag3/100x/ag3-100x-03-bases-score-sorted-square-1200x1200.png","Still proves current scored/sorted table state; adding the column requires motion or paired proof.","Capture after launch scene verification passes"
"21","Launch","AG3","Pro Trial / Large Vault Upgrade","AG3-03","T1 Launch","96","Power: Bases score column sorted","sc-bases-reference-relevance-score","bases-score-sorted-portrait","Existing scene draft; static capture needs verified fixed-reference identity and scored state","sc-pro-clean","v2-bases-scored","Portrait","4:5","960 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; narrow composition must not shrink the whole desktop. Keep reference identity, score column, descending order, and enough rows readable.","A Base table is sorted descending by a populated Connections score column against a fixed reference","A viewer cannot tell what the scores are measured against","sc-bases-reference-relevance-score--bases-score-sorted-portrait--{run_id}--raw.png","ag3-100x-03-bases-score-sorted-portrait-960x1200.png","outputs/final/ag3/100x/ag3-100x-03-bases-score-sorted-portrait-960x1200.png","Still proves current scored/sorted table state; adding the column requires motion or paired proof.","Capture after launch scene verification passes"
"22","Launch","AG3","Pro Trial / Large Vault Upgrade","AG3-04","T1 Launch","90","Power: Bases related link trails","sc-bases-related-list-column","bases-related-link-trails-landscape","Existing scene draft; must pass Pro demo state reset, verification, and fatal gates before official capture","sc-pro-clean","v2-bases-scored","Landscape","1.91:1","1200 x 628","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; horizontal source/output relationship stays readable. Keep row title, related-link cell, and column identity readable; crop out clutter.","A Base row contains real related link trails generated by Connections Pro","The cell content becomes a dense unreadable wall","sc-bases-related-list-column--bases-related-link-trails-landscape--{run_id}--raw.png","ag3-100x-04-bases-related-link-trails-landscape-1200x628.png","outputs/final/ag3/100x/ag3-100x-04-bases-related-link-trails-landscape-1200x628.png","Still proves visible generated link trails, not universal relatedness quality.","Capture after launch scene verification passes"
"23","Launch","AG3","Pro Trial / Large Vault Upgrade","AG3-04","T1 Launch","90","Power: Bases related link trails","sc-bases-related-list-column","bases-related-link-trails-square","Existing scene draft; must pass Pro demo state reset, verification, and fatal gates before official capture","sc-pro-clean","v2-bases-scored","Square","1:1","1200 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; recompose real UI rather than crop a wide desktop. Keep row title, related-link cell, and column identity readable; crop out clutter.","A Base row contains real related link trails generated by Connections Pro","The cell content becomes a dense unreadable wall","sc-bases-related-list-column--bases-related-link-trails-square--{run_id}--raw.png","ag3-100x-04-bases-related-link-trails-square-1200x1200.png","outputs/final/ag3/100x/ag3-100x-04-bases-related-link-trails-square-1200x1200.png","Still proves visible generated link trails, not universal relatedness quality.","Capture after launch scene verification passes"
"24","Launch","AG3","Pro Trial / Large Vault Upgrade","AG3-04","T1 Launch","90","Power: Bases related link trails","sc-bases-related-list-column","bases-related-link-trails-portrait","Existing scene draft; must pass Pro demo state reset, verification, and fatal gates before official capture","sc-pro-clean","v2-bases-scored","Portrait","4:5","960 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; narrow composition must not shrink the whole desktop. Keep row title, related-link cell, and column identity readable; crop out clutter.","A Base row contains real related link trails generated by Connections Pro","The cell content becomes a dense unreadable wall","sc-bases-related-list-column--bases-related-link-trails-portrait--{run_id}--raw.png","ag3-100x-04-bases-related-link-trails-portrait-960x1200.png","outputs/final/ag3/100x/ag3-100x-04-bases-related-link-trails-portrait-960x1200.png","Still proves visible generated link trails, not universal relatedness quality.","Capture after launch scene verification passes"
"25","Scale","AG1","First Useful Related Note","AG1-05","T2 Scale","87","Confidence: native hover preview","sc-related-result-to-note-link","native-hover-preview-landscape","Blocked: current canonical scene forbids open hover preview in final static state; author and verify a native-hover-preview variant first","sc-core-clean","v2-base-unlinked","Landscape","1.91:1","1200 x 628","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; horizontal source/output relationship stays readable. Keep hovered result, native preview, and anchor context in one readable frame.","A real native Obsidian hover preview confirms the selected result before opening","Static crop implies a hover interaction but the relation between result and preview is ambiguous","sc-related-result-to-note-link--native-hover-preview-landscape--{run_id}--raw.png","ag1-100x-05-native-hover-preview-landscape-1200x628.png","outputs/final/ag1/100x/ag1-100x-05-native-hover-preview-landscape-1200x628.png","Still proves a native preview is open for that result; hover activation itself requires motion.","Capture only after launch set passes and this scale scene contract is verified"
"26","Scale","AG1","First Useful Related Note","AG1-05","T2 Scale","87","Confidence: native hover preview","sc-related-result-to-note-link","native-hover-preview-square","Blocked: current canonical scene forbids open hover preview in final static state; author and verify a native-hover-preview variant first","sc-core-clean","v2-base-unlinked","Square","1:1","1200 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; recompose real UI rather than crop a wide desktop. Keep hovered result, native preview, and anchor context in one readable frame.","A real native Obsidian hover preview confirms the selected result before opening","Static crop implies a hover interaction but the relation between result and preview is ambiguous","sc-related-result-to-note-link--native-hover-preview-square--{run_id}--raw.png","ag1-100x-05-native-hover-preview-square-1200x1200.png","outputs/final/ag1/100x/ag1-100x-05-native-hover-preview-square-1200x1200.png","Still proves a native preview is open for that result; hover activation itself requires motion.","Capture only after launch set passes and this scale scene contract is verified"
"27","Scale","AG1","First Useful Related Note","AG1-06","T2 Scale","82","Workflow: copy ranked links","sc-copy-results-as-links","copy-ranked-links-landscape","Blocked: scene note missing; create and verify current UI contract before capture","sc-core-clean","v2-base-unlinked","Landscape","1.91:1","1200 x 628","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; horizontal source/output relationship stays readable. Keep ranked result list plus the copy-as-links control/action anchored to the list.","The Connections list action/control supports copying ranked results as Obsidian links","The shot becomes a controls screenshot rather than a workflow payoff","sc-copy-results-as-links--copy-ranked-links-landscape--{run_id}--raw.png","ag1-100x-06-copy-ranked-links-landscape-1200x628.png","outputs/final/ag1/100x/ag1-100x-06-copy-ranked-links-landscape-1200x628.png","Still proves the visible control and current list only; clipboard contents require separate evidence.","Capture only after launch set passes and this scale scene contract is verified"
"28","Scale","AG1","First Useful Related Note","AG1-06","T2 Scale","82","Workflow: copy ranked links","sc-copy-results-as-links","copy-ranked-links-square","Blocked: scene note missing; create and verify current UI contract before capture","sc-core-clean","v2-base-unlinked","Square","1:1","1200 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; recompose real UI rather than crop a wide desktop. Keep ranked result list plus the copy-as-links control/action anchored to the list.","The Connections list action/control supports copying ranked results as Obsidian links","The shot becomes a controls screenshot rather than a workflow payoff","sc-copy-results-as-links--copy-ranked-links-square--{run_id}--raw.png","ag1-100x-06-copy-ranked-links-square-1200x1200.png","outputs/final/ag1/100x/ag1-100x-06-copy-ranked-links-square-1200x1200.png","Still proves the visible control and current list only; clipboard contents require separate evidence.","Capture only after launch set passes and this scale scene contract is verified"
"29","Scale","AG1","First Useful Related Note","AG1-07","T2 Scale","73","Context: mini-graph plus ranked list","sc-current-note-related-notes","mini-graph-ranked-list-landscape","Blocked until current-note scene adds and verifies a mini-graph-ranked-list variant","sc-core-clean","v2-base-unlinked","Landscape","1.91:1","1200 x 628","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; horizontal source/output relationship stays readable. Keep mini-graph subordinate to readable ranked result titles and active anchor identity.","Connections list includes visual relationship context plus ranked notes for the active anchor","Graph visual becomes decoration and hides result titles","sc-current-note-related-notes--mini-graph-ranked-list-landscape--{run_id}--raw.png","ag1-100x-07-mini-graph-ranked-list-landscape-1200x628.png","outputs/final/ag1/100x/ag1-100x-07-mini-graph-ranked-list-landscape-1200x628.png","Still proves visible relationship context plus current ranked list only.","Capture only after launch set passes and this scale scene contract is verified"
"30","Scale","AG1","First Useful Related Note","AG1-07","T2 Scale","73","Context: mini-graph plus ranked list","sc-current-note-related-notes","mini-graph-ranked-list-square","Blocked until current-note scene adds and verifies a mini-graph-ranked-list variant","sc-core-clean","v2-base-unlinked","Square","1:1","1200 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; recompose real UI rather than crop a wide desktop. Keep mini-graph subordinate to readable ranked result titles and active anchor identity.","Connections list includes visual relationship context plus ranked notes for the active anchor","Graph visual becomes decoration and hides result titles","sc-current-note-related-notes--mini-graph-ranked-list-square--{run_id}--raw.png","ag1-100x-07-mini-graph-ranked-list-square-1200x1200.png","outputs/final/ag1/100x/ag1-100x-07-mini-graph-ranked-list-square-1200x1200.png","Still proves visible relationship context plus current ranked list only.","Capture only after launch set passes and this scale scene contract is verified"
"31","Scale","AG1","First Useful Related Note","AG1-08","T2 Scale","78","Footer payoff: expanded result at note end","sc-footer-end-note-related-notes","footer-expanded-result-landscape","Existing footer-expanded-result variant; verification required before scale capture","sc-core-clean","v2-base-unlinked","Landscape","1.91:1","1200 x 628","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; horizontal source/output relationship stays readable. Keep end-of-note context, Footer identity, and expanded result snippet readable.","Footer result is expanded at the end of the note so relevance can be judged before linking","The expanded result is too small to read at final size","sc-footer-end-note-related-notes--footer-expanded-result-landscape--{run_id}--raw.png","ag1-100x-08-footer-expanded-result-landscape-1200x628.png","outputs/final/ag1/100x/ag1-100x-08-footer-expanded-result-landscape-1200x628.png","Still proves expanded Footer result state, not linking.","Capture only after launch set passes and this scale scene contract is verified"
"32","Scale","AG1","First Useful Related Note","AG1-08","T2 Scale","78","Footer payoff: expanded result at note end","sc-footer-end-note-related-notes","footer-expanded-result-square","Existing footer-expanded-result variant; verification required before scale capture","sc-core-clean","v2-base-unlinked","Square","1:1","1200 x 1200","2560 x 1600 full-window PNG; 2x/Retina preferred","Center 80% safe area","Critical proof inside center 80%; recompose real UI rather than crop a wide desktop. Keep end-of-note context, Footer identity, and expanded result snippet readable.","Footer result is expanded at the end of the note so relevance can be judged before linking","The expanded result is too small to read at final size","sc-footer-end-note-related-notes--footer-expanded-result-square--{run_id}--raw.png","ag1-100x-08-footer-expanded-result-square-1200x1200.png","outputs/final/ag1/100x/ag1-100x-08-footer-expanded-result-square-1200x1200.png","Still proves expanded Footer result state, not linking.","Capture only after launch set passes and this scale scene contract is verified"
