"Priority","Phase","Asset Group Code","Shot Order","Format","Shot Key","Scene ID","Profile","Demo Snapshot State","Scene Contract Status","Verify Before Capture","Capture Action","Reject If","Matrix Import Order","Expected Final Filename"
"11","Launch","AG1","AG1-04","Square","footer-connections","sc-footer-end-note-related-notes","sc-core-clean","v2-base-unlinked","Existing scene draft; must pass demo state reset, verification, and fatal gates before official capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-04 Square: compose footer-connections-square; keep proof inside center 80%; save untouched raw before any derivative.","The footer looks like a separate dashboard instead of the bottom of the active note","11","ag1-100x-04-footer-connections-square-1200x1200.png"
"12","Launch","AG1","AG1-04","Portrait","footer-connections","sc-footer-end-note-related-notes","sc-core-clean","v2-base-unlinked","Existing scene draft; must pass demo state reset, verification, and fatal gates before official capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-04 Portrait: compose footer-connections-portrait; keep proof inside center 80%; save untouched raw before any derivative.","The footer looks like a separate dashboard instead of the bottom of the active note","12","ag1-100x-04-footer-connections-portrait-960x1200.png"
"13","Launch","AG3","AG3-01","Landscape","inline-related-popover","sc-inline-block-related-results","sc-pro-clean","v2-base-unlinked","Existing scene draft; must pass Pro demo state reset, verification, and fatal gates before official capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG3-01 Landscape: compose inline-related-popover-landscape; keep proof inside center 80%; save untouched raw before any derivative.","The popover appears detached from the paragraph or looks like a separate dashboard","13","ag3-100x-01-inline-related-popover-landscape-1200x628.png"
"14","Launch","AG3","AG3-01","Square","inline-related-popover","sc-inline-block-related-results","sc-pro-clean","v2-base-unlinked","Existing scene draft; must pass Pro demo state reset, verification, and fatal gates before official capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG3-01 Square: compose inline-related-popover-square; keep proof inside center 80%; save untouched raw before any derivative.","The popover appears detached from the paragraph or looks like a separate dashboard","14","ag3-100x-01-inline-related-popover-square-1200x1200.png"
"15","Launch","AG3","AG3-01","Portrait","inline-related-popover","sc-inline-block-related-results","sc-pro-clean","v2-base-unlinked","Existing scene draft; must pass Pro demo state reset, verification, and fatal gates before official capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG3-01 Portrait: compose inline-related-popover-portrait; keep proof inside center 80%; save untouched raw before any derivative.","The popover appears detached from the paragraph or looks like a separate dashboard","15","ag3-100x-01-inline-related-popover-portrait-960x1200.png"
"16","Launch","AG3","AG3-02","Landscape","inline-full-list-detail","sc-inline-block-related-results","sc-pro-clean","v2-base-unlinked","Existing inline-open-full-list addendum; verify block anchoring survives in current UI before capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG3-02 Landscape: compose inline-full-list-detail-landscape; keep proof inside center 80%; save untouched raw before any derivative.","The shot no longer proves block-level anchoring","16","ag3-100x-02-inline-full-list-detail-landscape-1200x628.png"
"17","Launch","AG3","AG3-02","Square","inline-full-list-detail","sc-inline-block-related-results","sc-pro-clean","v2-base-unlinked","Existing inline-open-full-list addendum; verify block anchoring survives in current UI before capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG3-02 Square: compose inline-full-list-detail-square; keep proof inside center 80%; save untouched raw before any derivative.","The shot no longer proves block-level anchoring","17","ag3-100x-02-inline-full-list-detail-square-1200x1200.png"
"18","Launch","AG3","AG3-02","Portrait","inline-full-list-detail","sc-inline-block-related-results","sc-pro-clean","v2-base-unlinked","Existing inline-open-full-list addendum; verify block anchoring survives in current UI before capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG3-02 Portrait: compose inline-full-list-detail-portrait; keep proof inside center 80%; save untouched raw before any derivative.","The shot no longer proves block-level anchoring","18","ag3-100x-02-inline-full-list-detail-portrait-960x1200.png"
"19","Launch","AG3","AG3-03","Landscape","bases-score-sorted","sc-bases-reference-relevance-score","sc-pro-clean","v2-bases-scored","Existing scene draft; static capture needs verified fixed-reference identity and scored state","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG3-03 Landscape: compose bases-score-sorted-landscape; keep proof inside center 80%; save untouched raw before any derivative.","A viewer cannot tell what the scores are measured against","19","ag3-100x-03-bases-score-sorted-landscape-1200x628.png"
"20","Launch","AG3","AG3-03","Square","bases-score-sorted","sc-bases-reference-relevance-score","sc-pro-clean","v2-bases-scored","Existing scene draft; static capture needs verified fixed-reference identity and scored state","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG3-03 Square: compose bases-score-sorted-square; keep proof inside center 80%; save untouched raw before any derivative.","A viewer cannot tell what the scores are measured against","20","ag3-100x-03-bases-score-sorted-square-1200x1200.png"
"21","Launch","AG3","AG3-03","Portrait","bases-score-sorted","sc-bases-reference-relevance-score","sc-pro-clean","v2-bases-scored","Existing scene draft; static capture needs verified fixed-reference identity and scored state","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG3-03 Portrait: compose bases-score-sorted-portrait; keep proof inside center 80%; save untouched raw before any derivative.","A viewer cannot tell what the scores are measured against","21","ag3-100x-03-bases-score-sorted-portrait-960x1200.png"
"22","Launch","AG3","AG3-04","Landscape","bases-related-link-trails","sc-bases-related-list-column","sc-pro-clean","v2-bases-scored","Existing scene draft; must pass Pro demo state reset, verification, and fatal gates before official capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG3-04 Landscape: compose bases-related-link-trails-landscape; keep proof inside center 80%; save untouched raw before any derivative.","The cell content becomes a dense unreadable wall","22","ag3-100x-04-bases-related-link-trails-landscape-1200x628.png"
"23","Launch","AG3","AG3-04","Square","bases-related-link-trails","sc-bases-related-list-column","sc-pro-clean","v2-bases-scored","Existing scene draft; must pass Pro demo state reset, verification, and fatal gates before official capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG3-04 Square: compose bases-related-link-trails-square; keep proof inside center 80%; save untouched raw before any derivative.","The cell content becomes a dense unreadable wall","23","ag3-100x-04-bases-related-link-trails-square-1200x1200.png"
"24","Launch","AG3","AG3-04","Portrait","bases-related-link-trails","sc-bases-related-list-column","sc-pro-clean","v2-bases-scored","Existing scene draft; must pass Pro demo state reset, verification, and fatal gates before official capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG3-04 Portrait: compose bases-related-link-trails-portrait; keep proof inside center 80%; save untouched raw before any derivative.","The cell content becomes a dense unreadable wall","24","ag3-100x-04-bases-related-link-trails-portrait-960x1200.png"
"25","Scale","AG1","AG1-05","Landscape","native-hover-preview","sc-related-result-to-note-link","sc-core-clean","v2-base-unlinked","Blocked: current canonical scene forbids open hover preview in final static state; author and verify a native-hover-preview variant first","Do not capture until scene contract is created or updated and passes verification","AG1-05 Landscape: compose native-hover-preview-landscape; keep proof inside center 80%; save untouched raw before any derivative.","Static crop implies a hover interaction but the relation between result and preview is ambiguous","25","ag1-100x-05-native-hover-preview-landscape-1200x628.png"
"26","Scale","AG1","AG1-05","Square","native-hover-preview","sc-related-result-to-note-link","sc-core-clean","v2-base-unlinked","Blocked: current canonical scene forbids open hover preview in final static state; author and verify a native-hover-preview variant first","Do not capture until scene contract is created or updated and passes verification","AG1-05 Square: compose native-hover-preview-square; keep proof inside center 80%; save untouched raw before any derivative.","Static crop implies a hover interaction but the relation between result and preview is ambiguous","26","ag1-100x-05-native-hover-preview-square-1200x1200.png"
"27","Scale","AG1","AG1-06","Landscape","copy-ranked-links","sc-copy-results-as-links","sc-core-clean","v2-base-unlinked","Blocked: scene note missing; create and verify current UI contract before capture","Do not capture until scene contract is created or updated and passes verification","AG1-06 Landscape: compose copy-ranked-links-landscape; keep proof inside center 80%; save untouched raw before any derivative.","The shot becomes a controls screenshot rather than a workflow payoff","27","ag1-100x-06-copy-ranked-links-landscape-1200x628.png"
"28","Scale","AG1","AG1-06","Square","copy-ranked-links","sc-copy-results-as-links","sc-core-clean","v2-base-unlinked","Blocked: scene note missing; create and verify current UI contract before capture","Do not capture until scene contract is created or updated and passes verification","AG1-06 Square: compose copy-ranked-links-square; keep proof inside center 80%; save untouched raw before any derivative.","The shot becomes a controls screenshot rather than a workflow payoff","28","ag1-100x-06-copy-ranked-links-square-1200x1200.png"
"29","Scale","AG1","AG1-07","Landscape","mini-graph-ranked-list","sc-current-note-related-notes","sc-core-clean","v2-base-unlinked","Blocked until current-note scene adds and verifies a mini-graph-ranked-list variant","Do not capture until scene contract is created or updated and passes verification","AG1-07 Landscape: compose mini-graph-ranked-list-landscape; keep proof inside center 80%; save untouched raw before any derivative.","Graph visual becomes decoration and hides result titles","29","ag1-100x-07-mini-graph-ranked-list-landscape-1200x628.png"
"30","Scale","AG1","AG1-07","Square","mini-graph-ranked-list","sc-current-note-related-notes","sc-core-clean","v2-base-unlinked","Blocked until current-note scene adds and verifies a mini-graph-ranked-list variant","Do not capture until scene contract is created or updated and passes verification","AG1-07 Square: compose mini-graph-ranked-list-square; keep proof inside center 80%; save untouched raw before any derivative.","Graph visual becomes decoration and hides result titles","30","ag1-100x-07-mini-graph-ranked-list-square-1200x1200.png"
"31","Scale","AG1","AG1-08","Landscape","footer-expanded-result","sc-footer-end-note-related-notes","sc-core-clean","v2-base-unlinked","Existing footer-expanded-result variant; verification required before scale capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-08 Landscape: compose footer-expanded-result-landscape; keep proof inside center 80%; save untouched raw before any derivative.","The expanded result is too small to read at final size","31","ag1-100x-08-footer-expanded-result-landscape-1200x628.png"
"32","Scale","AG1","AG1-08","Square","footer-expanded-result","sc-footer-end-note-related-notes","sc-core-clean","v2-base-unlinked","Existing footer-expanded-result variant; verification required before scale capture","Run demo state reset, scene verification, fatal gates, and untouched raw capture before derivative export","AG1-08 Square: compose footer-expanded-result-square; keep proof inside center 80%; save untouched raw before any derivative.","The expanded result is too small to read at final size","32","ag1-100x-08-footer-expanded-result-square-1200x1200.png"
"33","Scale","AG3","AG3-05","Landscape","pro-result-cards","sc-pro-connections-list-renderer","sc-pro-clean","v2-base-unlinked","Blocked: scene note missing; create and verify Pro renderer contract before capture","Do not capture until scene contract is created or updated and passes verification","AG3-05 Landscape: compose pro-result-cards-landscape; keep proof inside center 80%; save untouched raw before any derivative.","Looks like a settings feature rather than a product outcome","33","ag3-100x-05-pro-result-cards-landscape-1200x628.png"
"34","Scale","AG3","AG3-05","Square","pro-result-cards","sc-pro-connections-list-renderer","sc-pro-clean","v2-base-unlinked","Blocked: scene note missing; create and verify Pro renderer contract before capture","Do not capture until scene contract is created or updated and passes verification","AG3-05 Square: compose pro-result-cards-square; keep proof inside center 80%; save untouched raw before any derivative.","Looks like a settings feature rather than a product outcome","34","ag3-100x-05-pro-result-cards-square-1200x1200.png"
"35","Scale","AG3","AG3-06","Landscape","reference-note-scored-base","sc-bases-reference-relevance-score","sc-pro-clean","v2-bases-scored","Blocked until Bases scene adds and verifies note-plus-scored-Base split variant; keep landscape if square becomes unreadable","Do not capture until scene contract is created or updated and passes verification","AG3-06 Landscape: compose reference-note-scored-base-landscape; keep proof inside center 80%; save untouched raw before any derivative.","Both panes become too small; if so, keep this as landscape only","35","ag3-100x-06-reference-note-scored-base-landscape-1200x628.png"
"36","Scale","AG3","AG3-06","Square","reference-note-scored-base","sc-bases-reference-relevance-score","sc-pro-clean","v2-bases-scored","Blocked until Bases scene adds and verifies note-plus-scored-Base split variant; keep landscape if square becomes unreadable","Do not capture until scene contract is created or updated and passes verification","AG3-06 Square: compose reference-note-scored-base-square; keep proof inside center 80%; save untouched raw before any derivative.","Both panes become too small; if so, keep this as landscape only","36","ag3-100x-06-reference-note-scored-base-square-1200x1200.png"
"37","Scale","AG3","AG3-07","Landscape","inline-source-opened","sc-inline-block-related-results","sc-pro-clean","v2-base-unlinked","Blocked until inline scene adds and verifies source-opened-beside-paragraph variant with action provenance","Do not capture until scene contract is created or updated and passes verification","AG3-07 Landscape: compose inline-source-opened-landscape; keep proof inside center 80%; save untouched raw before any derivative.","Viewer cannot see that the opened source came from the inline result","37","ag3-100x-07-inline-source-opened-landscape-1200x628.png"
"38","Scale","AG3","AG3-07","Square","inline-source-opened","sc-inline-block-related-results","sc-pro-clean","v2-base-unlinked","Blocked until inline scene adds and verifies source-opened-beside-paragraph variant with action provenance","Do not capture until scene contract is created or updated and passes verification","AG3-07 Square: compose inline-source-opened-square; keep proof inside center 80%; save untouched raw before any derivative.","Viewer cannot see that the opened source came from the inline result","38","ag3-100x-07-inline-source-opened-square-1200x1200.png"
"39","Scale","AG3","AG3-08","Landscape","many-row-base-ranked","sc-bases-reference-relevance-score","sc-pro-clean","v2-bases-scored","Blocked until Bases scene adds and verifies many-row ranked variant; do not claim speed or universal quality","Do not capture until scene contract is created or updated and passes verification","AG3-08 Landscape: compose many-row-base-ranked-landscape; keep proof inside center 80%; save untouched raw before any derivative.","At ad size it becomes an unreadable spreadsheet","39","ag3-100x-08-many-row-base-ranked-landscape-1200x628.png"
"40","Scale","AG3","AG3-08","Square","many-row-base-ranked","sc-bases-reference-relevance-score","sc-pro-clean","v2-bases-scored","Blocked until Bases scene adds and verifies many-row ranked variant; do not claim speed or universal quality","Do not capture until scene contract is created or updated and passes verification","AG3-08 Square: compose many-row-base-ranked-square; keep proof inside center 80%; save untouched raw before any derivative.","At ad size it becomes an unreadable spreadsheet","40","ag3-100x-08-many-row-base-ranked-square-1200x1200.png"
