Import Order,Asset Group Code,Asset Group,Family Order,Evidence Family,Scene ID,Variant ID,Scene Readiness Before Official Capture,Profile,Fixture Snapshot,Format,Aspect Ratio,Final Size,Raw Minimum,Composition Requirement,Visible Proof,Raw Filename Template,Final Filename,Final Relative Path,Static Claim Limit
7,AG1,First Useful Related Note,3,Result inserted as note link,sc-related-result-to-note-link,post-link-square,Must pass verification and fatal truth gates,sc-core-clean,v2-post-link,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so the complete proof fits a centered square crop.,Real note link and matching current result visible together,sc-related-result-to-note-link--post-link-square--{run_id}--raw.png,ag1-03-post-link-square-1200x1200.png,outputs/final/ag1/ag1-03-post-link-square-1200x1200.png,Claim only the visible state; motion required for drag/hover/transition
8,AG1,First Useful Related Note,4,Footer related notes,sc-footer-end-note-related-notes,footer-open-square,Must pass verification and fatal truth gates,sc-core-clean,v2-base-unlinked,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so the complete proof fits a centered square crop.,Active note ending and current Footer results visible together,sc-footer-end-note-related-notes--footer-open-square--{run_id}--raw.png,ag1-04-footer-open-square-1200x1200.png,outputs/final/ag1/ag1-04-footer-open-square-1200x1200.png,Claim only the visible state; motion required for drag/hover/transition
5,AG3,Pro Trial / Large Vault Upgrade,1,Inline related results,sc-inline-block-related-results,inline-popover-square,Must pass verification and fatal truth gates,sc-pro-clean,v2-base-unlinked,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so the complete proof fits a centered square crop.,"Target paragraph, inline icon, and real result popover",sc-inline-block-related-results--inline-popover-square--{run_id}--raw.png,ag3-01-inline-popover-square-1200x1200.png,outputs/final/ag3/ag3-01-inline-popover-square-1200x1200.png,Claim only the visible state; motion required for drag/hover/transition
6,AG3,Pro Trial / Large Vault Upgrade,2,Inline full list,sc-inline-block-related-results,inline-full-list-square,Must pass verification and fatal truth gates,sc-pro-clean,v2-base-unlinked,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so the complete proof fits a centered square crop.,Target block identity and full current Connections list,sc-inline-block-related-results--inline-full-list-square--{run_id}--raw.png,ag3-02-inline-full-list-square-1200x1200.png,outputs/final/ag3/ag3-02-inline-full-list-square-1200x1200.png,Claim only the visible state; motion required for drag/hover/transition
7,AG3,Pro Trial / Large Vault Upgrade,3,Bases relevance score,sc-bases-reference-relevance-score,bases-score-square,Must pass verification and fatal truth gates,sc-pro-clean,v2-bases-unscored,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so the complete proof fits a centered square crop.,Populated score column and real descending sort,sc-bases-reference-relevance-score--bases-score-square--{run_id}--raw.png,ag3-03-bases-score-square-1200x1200.png,outputs/final/ag3/ag3-03-bases-score-square-1200x1200.png,Claim only the visible state; motion required for drag/hover/transition
8,AG3,Pro Trial / Large Vault Upgrade,4,Bases related links,sc-bases-related-list-column,bases-links-square,Must pass verification and fatal truth gates,sc-pro-clean,v2-bases-scored,Square,1:1,1200 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Recompose the real UI so the complete proof fits a centered square crop.,Rows and real list_connections link trails,sc-bases-related-list-column--bases-links-square--{run_id}--raw.png,ag3-04-bases-links-square-1200x1200.png,outputs/final/ag3/ag3-04-bases-links-square-1200x1200.png,Claim only the visible state; motion required for drag/hover/transition
9,AG1,First Useful Related Note,1,Current note related notes,sc-current-note-related-notes,ranked-list-portrait,Must pass verification and fatal truth gates,sc-core-clean,v2-base-unlinked,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; do not shrink the entire desktop into the frame.,Active note and current ranked related-note list,sc-current-note-related-notes--ranked-list-portrait--{run_id}--raw.png,ag1-01-ranked-list-portrait-960x1200.png,outputs/final/ag1/ag1-01-ranked-list-portrait-960x1200.png,Claim only the visible state; motion required for drag/hover/transition
10,AG1,First Useful Related Note,2,Expanded related result,sc-current-note-related-notes,expanded-result-portrait,Must pass verification and fatal truth gates,sc-core-clean,v2-base-unlinked,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; do not shrink the entire desktop into the frame.,One real ranked result expanded beside the active note,sc-current-note-related-notes--expanded-result-portrait--{run_id}--raw.png,ag1-02-expanded-result-portrait-960x1200.png,outputs/final/ag1/ag1-02-expanded-result-portrait-960x1200.png,Claim only the visible state; motion required for drag/hover/transition
11,AG1,First Useful Related Note,3,Result inserted as note link,sc-related-result-to-note-link,post-link-portrait,Must pass verification and fatal truth gates,sc-core-clean,v2-post-link,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; do not shrink the entire desktop into the frame.,Real note link and matching current result visible together,sc-related-result-to-note-link--post-link-portrait--{run_id}--raw.png,ag1-03-post-link-portrait-960x1200.png,outputs/final/ag1/ag1-03-post-link-portrait-960x1200.png,Claim only the visible state; motion required for drag/hover/transition
12,AG1,First Useful Related Note,4,Footer related notes,sc-footer-end-note-related-notes,footer-open-portrait,Must pass verification and fatal truth gates,sc-core-clean,v2-base-unlinked,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; do not shrink the entire desktop into the frame.,Active note ending and current Footer results visible together,sc-footer-end-note-related-notes--footer-open-portrait--{run_id}--raw.png,ag1-04-footer-open-portrait-960x1200.png,outputs/final/ag1/ag1-04-footer-open-portrait-960x1200.png,Claim only the visible state; motion required for drag/hover/transition
9,AG3,Pro Trial / Large Vault Upgrade,1,Inline related results,sc-inline-block-related-results,inline-popover-portrait,Must pass verification and fatal truth gates,sc-pro-clean,v2-base-unlinked,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; do not shrink the entire desktop into the frame.,"Target paragraph, inline icon, and real result popover",sc-inline-block-related-results--inline-popover-portrait--{run_id}--raw.png,ag3-01-inline-popover-portrait-960x1200.png,outputs/final/ag3/ag3-01-inline-popover-portrait-960x1200.png,Claim only the visible state; motion required for drag/hover/transition
10,AG3,Pro Trial / Large Vault Upgrade,2,Inline full list,sc-inline-block-related-results,inline-full-list-portrait,Must pass verification and fatal truth gates,sc-pro-clean,v2-base-unlinked,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; do not shrink the entire desktop into the frame.,Target block identity and full current Connections list,sc-inline-block-related-results--inline-full-list-portrait--{run_id}--raw.png,ag3-02-inline-full-list-portrait-960x1200.png,outputs/final/ag3/ag3-02-inline-full-list-portrait-960x1200.png,Claim only the visible state; motion required for drag/hover/transition
11,AG3,Pro Trial / Large Vault Upgrade,3,Bases relevance score,sc-bases-reference-relevance-score,bases-score-portrait,Must pass verification and fatal truth gates,sc-pro-clean,v2-bases-unscored,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; do not shrink the entire desktop into the frame.,Populated score column and real descending sort,sc-bases-reference-relevance-score--bases-score-portrait--{run_id}--raw.png,ag3-03-bases-score-portrait-960x1200.png,outputs/final/ag3/ag3-03-bases-score-portrait-960x1200.png,Claim only the visible state; motion required for drag/hover/transition
12,AG3,Pro Trial / Large Vault Upgrade,4,Bases related links,sc-bases-related-list-column,bases-links-portrait,Must pass verification and fatal truth gates,sc-pro-clean,v2-bases-scored,Portrait,4:5,960 x 1200,2560 x 1600 full-window PNG; 2x/Retina preferred,Use a narrow readable composition; do not shrink the entire desktop into the frame.,Rows and real list_connections link trails,sc-bases-related-list-column--bases-links-portrait--{run_id}--raw.png,ag3-04-bases-links-portrait-960x1200.png,outputs/final/ag3/ag3-04-bases-links-portrait-960x1200.png,Claim only the visible state; motion required for drag/hover/transition
